Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
2025-02-24 00:00:00,Layer 1 Item,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Statement Date ""From""",Layer 1 Item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Statement Date ""To""",Layer 1 Item,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCOME,Layer 1 Item,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rents,Layer 1 Item,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Potential Rent,Layer 1 Item,6,331010.0,331010.0,331010.0,331010.0,331010.0,331010.0,331010.0,331010.0,331060.0,331060.0,331060.0,3972270.0,7613530.0
Vacancy,Layer 1 Item,7,-18429.0,-16860.0,-15396.0,-22211.0,-19885.0,-17104.0,-14392.0,-12123.63,-15964.66,-16230.97,-14335.97,-201490.23,-384422.46
Model Rent,Layer 1 Item,8,-1825.0,-1825.0,-1825.0,-1825.0,-1825.0,-1825.0,-1825.0,-1825.0,-1825.0,-1825.0,-1825.0,-21900.0,-41975.0
Gain to Old Lease,Layer 1 Item,9,190.0,210.0,170.0,120.0,120.0,70.0,70.0,126.95,0.0,0.0,0.0,1266.95,2343.9
Loss to Old Lease,Layer 1 Item,10,-6781.0,-7151.0,-7544.0,-7889.0,-9170.0,-10541.0,-11566.0,-11887.52,-11856.33,-11838.06,-11780.97,-114370.88,-222375.76
Concession,Layer 1 Item,11,-3782.16,-4323.66,-3222.85,-2873.01,-2986.17,-3012.46,-5164.1,-907.83,-150.0,-400.0,-1160.0,-31757.24,-59739.479999999996
Miscellaneous Adjustments,Layer 1 Item,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.21,0.0,-100.0,0.0,-106.21,-212.42
NET DELIQUENTS,Layer 1 Item,16,3527.19,2350.08,-1391.67,-19.24,366.89,-114.34,866.97,-374.84,-3035.8,101.94,-2732.99,-3557.56,-4013.369999999999
Bad Debt,Layer 1 Item,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Income,Layer 1 Item,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forfeiture Income,Layer 1 Item,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,600.0
Late Fees,Layer 1 Item,22,600.0,500.0,500.0,800.0,600.0,800.0,600.0,200.0,1000.0,500.0,800.0,7600.0,14500.0
NSF Fees,Layer 1 Item,23,200.0,100.0,100.0,100.0,100.0,200.0,200.0,0.0,300.0,0.0,300.0,1700.0,3300.0
Application Fees,Layer 1 Item,24,200.0,225.0,1100.0,1350.0,875.0,300.0,347.5,152.5,300.0,375.0,75.0,5525.0,10825.0
Leasing Fees,Layer 1 Item,25,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,800.0,1600.0
Gate Remote Fees,Layer 1 Item,26,150.0,450.0,100.0,741.64,634.0,1281.0,375.0,150.0,150.0,300.0,75.0,4481.64,8888.279999999999
Pet Fees,Layer 1 Item,27,0.0,0.0,250.0,0.0,150.0,150.0,0.0,250.0,150.0,150.0,250.0,1350.0,2700.0
M-to-M/Short term lease,Layer 1 Item,28,0.0,150.0,150.0,0.0,0.0,0.0,0.0,250.0,150.0,0.0,150.0,850.0,1700.0
Dispossessory Fees,Layer 1 Item,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleaning Fees,Layer 1 Item,30,0.0,95.0,0.0,0.0,0.0,195.0,95.0,0.0,0.0,0.0,0.0,385.0,770.0
Damages,Layer 1 Item,31,0.0,467.16,60.27,160.26,272.04,2317.91,193.26,100.0,160.0,2041.46,575.0,6347.36,12694.72
