Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
anonymized name,Layer 1 Item,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
property management company,Layer 1 Item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailing Profit And Loss Detail,Layer 1 Item,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
January 2024 - Cash - Accounting Book: Default,Layer 1 Item,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Printed 3/7/2024 7:12:23 PM,Layer 1 Item,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb 2023 Actual,Layer 1 Item,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCOME,Layer 1 Item,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4300 INCOME,Layer 1 Item,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4305 Rental Income,Layer 1 Item,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4310 Gross Potential,Layer 1 Item,10,211492.0,219238.0,220155.06,222300.0,223382.0,229125.0,228426.2,238500.0,243400.0,243500.0,2693843.31,355718.31,5329079.88
4311 Loss to Lease,Layer 1 Item,11,-9568.91,-15151.85,-14545.4,-12044.79,-9775.01,-16723.39,-12516.68,-14450.99,-15759.24,-12632.28,-151285.75,-7716.15,-292170.44000000006
4313 Non Revenue Units,Layer 1 Item,12,-1762.0,-1529.9,-1732.0,-1732.0,-1732.0,-1741.8,-2704.0,-2154.0,-2954.0,-3788.19,-24628.89,-12253.89,-58712.67
4314 Concessions,Layer 1 Item,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.0,957.0
