Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
hope you are enjoying the test!,Layer 1 Item,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
property management company,Layer 1 Item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trailing Profit And Loss Detail,Layer 1 Item,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
June 2025 - Accrual - Accounting Book: Default,Layer 1 Item,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Printed 7/10/2025 1:04:24 PM,Layer 1 Item,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jul 2024 Actual,Layer 1 Item,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCOME,Layer 1 Item,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000 Net Rental Income,Layer 1 Item,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4100 Gross Possible Rent,Layer 1 Item,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4110 Gross Potential Rent,Layer 1 Item,10,398979.0,398025.0,398025.0,398025.0,398025.0,398025.0,398025.0,398025.0,398025.0,398025.0,398025.0,4791325.0,9170554.0
4120 (Loss)/Gain To Old,Layer 1 Item,11,-16400.0,-21395.0,-26085.0,-34046.0,-41198.0,-43115.0,-45717.0,-47495.0,-48293.0,-50142.0,-54113.0,-433265.0,-861264.0
4200 Deductions,Layer 1 Item,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4210 Bad Debt / Write-Off Uncollectable Rent,Layer 1 Item,14,-27492.43,-19448.64,-12042.04,-9432.33,-6353.62,-5622.27,-5278.04,-7297.57,-8165.22,-9068.09,-8070.86,-145476.53,-263747.64
4220 Vacancy Loss,Layer 1 Item,15,-79477.0,-71427.0,-75613.0,-76985.0,-69622.0,-59240.0,-49436.0,-46738.0,-54189.0,-49819.0,-49679.0,-771864.0,-1454089.0
4240 Vacancy Loss - Model Units,Layer 1 Item,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4250 Rent Concessions - Move In,Layer 1 Item,17,-549.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-561.0,-1110.5
4280 Referral Credits (Resident Or Leasing),Layer 1 Item,18,-998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-998.0,-1996.0
4300 Other Income,Layer 1 Item,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4305 Bad Debt Recovery,Layer 1 Item,22,0.0,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.0,0.0,976.3,1952.6
4310 Cable TV Revenue,Layer 1 Item,23,1070.07,0.0,0.0,1114.09,0.0,0.0,992.18,0.0,0.0,1436.21,0.0,4612.55,9225.099999999999
4315 Electric Reimbursable,Layer 1 Item,24,1554.53,1123.13,1062.34,1657.46,1374.16,-19.4,1446.87,1553.13,1051.36,688.07,326.32,12785.14,24603.11
4322 Gas Submeter,Layer 1 Item,25,850.62,1060.96,1015.62,1002.72,875.06,2275.18,2787.31,3094.36,1770.62,2593.13,2409.05,20873.32,40607.95
4325 Pest Control Fees,Layer 1 Item,26,2192.0,1820.0,2008.0,1815.0,1780.0,2230.0,2269.0,2051.0,1823.15,2290.0,2289.33,24104.58,46672.060000000005
4330 Trash Service Fee,Layer 1 Item,27,4101.0,3432.0,3743.38,3427.0,3334.0,4180.0,4258.0,3816.0,3403.0,4278.0,4281.44,45143.82,87397.64000000001
