Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
Income Statement,Layer 1 Item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
property,Layer 1 Item,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Basis,Layer 1 Item,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb 2023 - Jan 2024,Layer 1 Item,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Account Name,Layer 1 Item,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Income,Layer 1 Item,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rental Income,Layer 1 Item,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Market Rent,Layer 1 Item,9,97540.17,96353.49,94227.94,97833.76,98692.5,93114.36,93407.92,95462.44,89659.12,91152.09,91134.15,1136856.94,2175434.88
Upgrade Premium,Layer 1 Item,10,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,286.0,572.0
5333-0000,Layer 1 Item,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,41.1
Change in Prepaid Rent,Layer 1 Item,12,16003.22,-7306.12,5377.08,1230.1,-10226.51,-14807.41,-1601.12,-3188.08,4811.77,-2083.18,1632.63,-18393.08,-28550.700000000004
Change in Delinquent Rent,Layer 1 Item,13,6921.56,-1781.27,-4815.11,-3555.15,-3828.5,-9228.76,2713.27,716.5,0.0,6909.84,2212.03,1939.78,-1795.8099999999988
Economic Vacancies,Layer 1 Item,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5025-0000,Layer 1 Item,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154.98,-154.98
Conc - Miscellaneous,Layer 1 Item,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.22,-248.22
Conc - Move-In Special,Layer 1 Item,19,0.0,0.0,-138.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.05,-276.1
Model Units/Admin,Layer 1 Item,20,758.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.55,1517.1
Vacancy Loss,Layer 1 Item,21,-758.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-758.55,-1517.1
Other Property Income,Layer 1 Item,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accelerated Rent,Layer 1 Item,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,500.0,800.0,1600.0
Administrative Fees,Layer 1 Item,28,300.0,300.0,200.0,200.0,400.0,100.0,400.0,500.0,715.0,385.0,700.0,4800.0,9000.0
Application Fees,Layer 1 Item,29,600.0,300.0,250.0,325.0,900.0,425.0,375.0,250.0,425.0,625.0,950.0,5675.0,11100.0
Bad Debt Recovery,Layer 1 Item,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.85,0.0,0.0,310.5,967.35,1934.7
Termination Fees,Layer 1 Item,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.25,0.0,0.0,0.0,686.25,1372.5
Carport/Garages/Parking Income,Layer 1 Item,32,0.0,50.0,200.0,330.0,320.0,297.58,275.0,500.0,450.0,575.0,775.0,3772.58,7545.16
Cleaning Charges,Layer 1 Item,33,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,360.0
Damages Income,Layer 1 Item,34,725.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,1530.0
Deposit Forfeitures,Layer 1 Item,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0
High Risk Fee,Layer 1 Item,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1925.0,1300.0,3225.0,6450.0
Key & Access Card Income,Layer 1 Item,37,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,375.0
Landlord Liability Coverage Expense (LRIP),Layer 1 Item,38,392.83,394.35,518.35,581.05,705.05,800.65,820.54,864.41,908.2,981.85,1062.7,8300.45,16330.43
Late Charges,Layer 1 Item,39,2456.1,1700.09,1681.61,2169.89,2005.26,1810.59,2305.5,2622.4,1530.15,2639.59,2797.64,25352.83,49071.65
Laundry Income,Layer 1 Item,40,-2381.06,0.0,0.0,0.0,1684.0,592.64,592.64,568.65,618.4,694.24,638.54,6365.62,9373.67
Legal & Collections,Layer 1 Item,41,204.0,0.0,0.0,0.0,0.0,0.0,129.0,204.0,129.0,258.0,258.0,1182.0,2364.0
Miscellaneous Income,Layer 1 Item,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,500.0,1000.0
Month-to-Month Fees,Layer 1 Item,43,843.19,1032.74,738.23,597.09,758.58,719.36,1019.91,1169.03,1116.67,1413.41,949.03,10880.85,21238.09
NSF Check Fees,Layer 1 Item,44,150.0,50.0,50.0,0.0,50.0,250.0,100.0,250.0,50.0,150.0,100.0,1400.0,2600.0
5330-0000,Layer 1 Item,45,100.0,51.0,99.0,0.0,0.0,0.0,0.0,177.44,775.0,250.0,0.0,1452.44,2904.88
5331-0000,Layer 1 Item,46,270.47,266.72,422.85,285.0,284.0,225.0,215.0,235.0,185.83,223.55,348.56,3121.98,6083.96
5340-0000,Layer 1 Item,47,0.0,0.0,0.0,0.0,0.0,0.0,922.25,0.0,0.0,0.0,0.0,922.25,1844.5
RUBS - Electricity,Layer 1 Item,48,359.43,140.52,143.1,76.31,253.37,73.75,150.93,203.44,465.1,313.45,185.9,2365.3,4730.6
RUBS - Gas,Layer 1 Item,49,2313.42,1186.44,1108.26,1189.84,1041.51,942.7,878.17,665.82,651.24,755.33,984.43,13476.63,25193.79
RUBS - Water/Sewer,Layer 1 Item,50,4616.86,4452.13,4305.79,4082.12,4476.03,5458.14,5041.96,5599.36,6662.89,5693.06,5750.86,61028.23,117167.43
RUBS - Trash,Layer 1 Item,51,454.15,405.37,429.65,438.19,434.1,464.23,431.77,430.77,400.51,401.65,394.9,5115.84,9801.13
RUBS - Pest,Layer 1 Item,52,191.23,170.69,182.93,184.5,182.78,195.47,181.81,181.38,168.64,169.12,166.26,2156.1,4130.91
RUBS - Monthly Billing Fees,Layer 1 Item,53,551.15,531.9,543.87,549.23,590.67,619.2,578.64,629.7,544.09,613.35,607.18,6842.44,13201.420000000002
Transfer Fee,Layer 1 Item,54,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,600.0
Utility Reimbursement,Layer 1 Item,55,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,1625.0,3000.0
Vending Income,Layer 1 Item,56,49.0,0.0,0.0,0.0,0.0,0.0,0.0,23.91,0.0,0.0,0.0,72.91,145.82
Violations,Layer 1 Item,57,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0
Beginning Balance,Layer 1 Item,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.98,154.98
Expenses,Layer 1 Item,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
General & Administrative,Layer 1 Item,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank Charge / Fees,Layer 1 Item,65,137.7,157.7,-0.7,163.0,227.28,238.07,392.58,477.25,229.84,-25.0,381.46,2541.91,4921.09
Resident Payment Processing Fees,Layer 1 Item,66,202.51,119.08,-285.02,197.71,96.08,155.78,130.03,118.33,93.58,89.88,103.38,1426.36,2447.7
Car Tags/Garage/Parking Access Supplies,Layer 1 Item,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.71,1034.71
Collection & Eviction Processing,Layer 1 Item,68,0.0,0.0,0.0,0.0,0.0,0.0,720.0,517.0,890.0,1107.0,0.0,3234.0,6468.0
Data Processing / Software Expense,Layer 1 Item,69,-10.49,3.51,0.0,7.02,49.2,24.6,0.0,44.85,27.27,23.76,23.76,196.99,390.47
Dues & Subscriptions,Layer 1 Item,70,0.0,0.0,0.0,0.0,0.0,0.0,189.02,0.0,0.0,0.0,0.0,189.02,378.04
6050-0000,Layer 1 Item,71,0.0,0.0,0.0,0.0,0.0,689.54,0.0,0.0,0.0,0.0,0.0,689.54,1379.08
"Licenses, Fees & Permits",Layer 1 Item,72,449.39,336.92,432.09,-96.13,335.96,335.96,671.92,335.96,0.0,340.99,681.98,4081.36,7906.400000000001
Postage & Delivery,Layer 1 Item,73,27.83,0.0,0.0,25.8,4.2,13.2,103.84,16.48,70.39,13.86,44.1,368.75,688.45
Printing/Copies/Film,Layer 1 Item,74,1.3,0.0,0.0,4.1,0.9,2.3,2.0,0.0,2.3,3.4,2.2,21.1,39.599999999999994
Professional Fees,Layer 1 Item,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,0.0,-1000.0,-2000.0
Resident Screening,Layer 1 Item,76,54.0,113.79,40.59,-0.92,178.61,135.31,94.72,92.01,92.01,174.8,151.22,1431.95,2558.09
Supplies-Office,Layer 1 Item,77,45.44,202.68,0.0,274.58,0.0,0.0,0.0,122.43,0.0,0.0,53.03,698.16,1396.3200000000002
6105-0000,Layer 1 Item,78,134.8,135.0,255.16,884.64,-219.54,-160.4,221.0,221.0,-192.31,83.16,648.25,2347.29,4358.05
Training & Seminars,Layer 1 Item,79,38.13,38.13,-38.13,76.26,38.13,38.13,76.26,0.0,76.26,0.0,105.78,487.08,936.03
Property Management Fees,Layer 1 Item,80,3500.0,3593.97,3500.0,3500.0,0.0,10500.0,0.0,3600.0,3500.0,3500.0,3500.0,42193.97,80887.94
Payroll & Benefits,Layer 1 Item,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manager Salaries,Layer 1 Item,84,6346.2,4230.8,1922.01,4077.0,4077.0,4077.0,6115.5,4077.0,4077.0,4077.0,6115.5,51307.41,100499.42000000001
Leasing Salaries,Layer 1 Item,85,3360.01,2270.89,2033.08,2255.37,2417.78,2295.27,3456.0,2261.46,2313.83,2254.36,3552.42,30889.85,59360.32
Maintenance Salaries,Layer 1 Item,86,5955.0,4718.78,4000.0,8308.7,6344.9,5750.25,2436.6,2662.74,5682.98,7362.18,10884.18,68636.26,132742.57
6225-9999,Layer 1 Item,87,1385.84,1139.02,2154.25,328.42,732.83,1162.69,155.58,123.41,810.45,419.61,519.84,10379.66,19311.6
Contract Labor - Maintenance,Layer 1 Item,88,0.0,0.0,0.0,0.0,0.0,0.0,2962.06,287.6,0.0,0.0,0.0,3249.66,6499.32
6260-0000,Layer 1 Item,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,500.0,1700.0,3400.0
Leasing Commissions,Layer 1 Item,90,225.0,800.0,0.0,0.0,3325.0,-350.0,1100.0,800.0,825.0,1200.0,725.0,9100.0,17750.0
Payroll Taxes,Layer 1 Item,91,2003.56,1526.5,1172.69,1736.46,1823.81,1512.22,1355.24,1151.34,1590.4,1915.68,2586.63,19497.72,37872.25
Worker's Compensation,Layer 1 Item,92,1371.39,1044.87,802.68,1188.57,1248.37,1244.92,1236.48,787.92,1088.4,1311.0,1770.17,14113.65,27208.42
401K Match,Layer 1 Item,93,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,47.92,70.08,104.46,225.11,450.22
Group Insurance,Layer 1 Item,94,0.0,62.43,0.0,0.0,0.0,66.42,-2.09,0.0,0.0,0.0,0.0,117.75,244.51
