Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
ASCEND AT THE FOUNT,Layer 1 Item,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Income Statement,Layer 1 Item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"May 31, 2025",Layer 1 Item,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reporting Book:,Layer 1 Item,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As of Date:,Layer 1 Item,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fake name abc,Layer 1 Item,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/30/2024,Layer 1 Item,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actual,Layer 1 Item,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Income,Layer 1 Item,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rental Income,Layer 1 Item,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411000 - Market Rent,Layer 1 Item,12,574078.0,576528.0,576458.0,572912.0,572576.0,572576.0,576947.0,576206.0,576188.0,566678.0,567068.0,6881573.0,13189788.0
411100 - Gain / Loss To Lease,Layer 1 Item,13,-1833.58,-3746.43,-5298.48,-5369.19,-6215.56,-6415.32,-9839.88,-9990.44,-9695.84,-3237.58,-2977.85,-65376.52,-129996.67
Other Rental Income,Layer 1 Item,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421000 - One-Time Concessions,Layer 1 Item,16,-52299.0,-61381.81,-87491.0,-74041.28,-58852.0,-40813.67,-30734.72,-25695.0,-33613.0,-48610.0,-42085.0,-584882.48,-1140498.96
421050 - Renewal Concessions,Layer 1 Item,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1435.0,-1435.0,-12278.0,-15148.0,-30296.0
421300 - Vacancy Loss,Layer 1 Item,18,-406451.3,-332445.42,-302222.29,-256130.75,-226862.51,-201618.54,-180484.67,-159375.84,-144020.34,-124304.58,-119112.56,-2923562.02,-5376590.82
421350 - Employee Units,Layer 1 Item,19,0.0,0.0,0.0,0.0,0.0,0.0,-331.48,-367.0,-367.0,-678.0,-929.0,-2672.48,-5344.96
421400 - Courtesy Officer Units,Layer 1 Item,20,-1000.0,-1000.0,-1000.0,-1000.0,-500.0,0.0,-903.23,-1000.0,-1000.0,-1000.0,-1000.0,-10403.23,-19806.46
421450 - Model & Storage Units,Layer 1 Item,21,-5838.87,-5807.42,-5675.42,-5605.54,-5471.35,-5487.68,-5456.29,-5945.0,-5945.0,-5860.0,-5860.0,-68835.57,-131788.14
421500 - Bad Debt - Rent,Layer 1 Item,22,2718.59,-10769.07,0.0,-2991.19,0.0,0.0,-4225.07,-8703.22,-6974.0,-216.5,-3125.55,-36771.01,-71057.02
421600 - Bad Debt Recovery - Rent,Layer 1 Item,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,3600.0,7200.0
Other Income,Layer 1 Item,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431000 - Access Gate Remote Income,Layer 1 Item,27,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,150.0
431050 - Administrative Fees,Layer 1 Item,28,-75.0,375.0,1746.5,375.0,-675.0,-375.0,-600.0,1650.0,-75.0,1500.0,950.0,8246.5,13043.0
431100 - Parcel Locker Fee,Layer 1 Item,29,1860.99,2677.41,2970.21,3567.73,4005.73,4323.57,4604.49,4794.21,4981.27,5311.79,5367.15,45601.84,90066.39
431150 - Application Fees,Layer 1 Item,30,0.0,975.0,1200.0,637.5,150.0,187.5,-375.0,1200.0,0.0,1650.0,1500.0,11907.25,19032.25
431200 - Bad Debt - Other Income,Layer 1 Item,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004.96,4004.96,8009.92
431300 - Damages,Layer 1 Item,32,5540.39,65.42,0.0,50.0,0.0,75.0,0.0,1138.75,535.75,80.0,-35.0,7450.31,14900.62
431550 - Eviction Fees,Layer 1 Item,33,547.0,250.0,-483.5,80.0,0.0,780.5,1014.0,934.0,387.0,1004.0,140.03,4653.03,9306.06
431600 - Garage Income,Layer 1 Item,34,3441.7,5964.69,6879.51,6893.0,7165.11,7358.21,9023.87,9346.95,7453.37,10620.93,10866.37,87160.79,172174.5
431610 - Parking Income,Layer 1 Item,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2905.0,0.0,0.0,2905.0,5810.0
431630 - Storage Unit Income,Layer 1 Item,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.19,510.0,480.0,395.81,1710.0,3420.0
431750 - Insufficient Notice Fees,Layer 1 Item,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.54,1800.0,0.0,6068.4,8045.94,16091.88
431800 - Deposit Insurance Income,Layer 1 Item,38,592.46,1925.0,2095.0,2439.0,2684.0,2811.0,2923.0,3035.0,3145.0,3642.0,3717.0,29327.82,58336.28
