Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
hello world,Layer 1 Item,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statement (12 months),Layer 1 Item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Period = Feb 2024-Jan 2025,Layer 1 Item,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Book = Accrual,Audit,Ops,Normalized ; Tree = hello world",Layer 1 Item,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feb 2024,Layer 1 Item,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000-0000,Layer 1 Item,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rental Income,Layer 1 Item,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Rental Income,Layer 1 Item,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Gross Potential Rent,Layer 1 Item,11,73590.0,65914.0,65914.0,65914.0,65914.0,65914.0,65914.0,65914.0,65914.0,65914.0,65914.0,794806.0,1527536.0
5139-9999,Layer 1 Item,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rental Loss,Layer 1 Item,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Vacancy Loss,Layer 1 Item,17,941.0,-8116.0,0.0,-1357.0,-2508.0,-3129.0,-4686.0,-2543.0,-1819.0,-1878.0,59.0,-26222.0,-51258.0
Loss to Contract - Section 8,Layer 1 Item,18,-183.0,-25.0,-194.0,-194.0,-31.0,-25.0,-25.0,-19.0,31.0,5.0,31.0,3184.0,2555.0
Section 8 Vacancy Claims,Layer 1 Item,19,0.0,2936.0,861.0,0.0,0.0,0.0,506.0,0.0,0.0,1541.0,1926.0,7770.0,15540.0
Concession - Rent,Layer 1 Item,21,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,-150.0
Concession - Resident Relation,Layer 1 Item,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.0,-400.0,-800.0
Bad Debt - Rent,Layer 1 Item,24,379.26,-13.45,-1478.3,-55.8,-831.7,-4104.59,1400.02,99.3,-1258.2,-1200.6,-356.66,-7328.63,-14749.349999999999
Rentable Items Income,Layer 1 Item,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garage/Parking Income,Layer 1 Item,28,1020.0,1030.0,1070.0,1046.0,972.0,1140.0,1170.0,1170.0,1190.0,1240.0,1160.0,13168.0,25376.0
Other Income,Layer 1 Item,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Income - Nested,Layer 1 Item,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Late Charges,Layer 1 Item,35,150.0,117.0,173.0,166.0,329.0,286.0,145.0,92.0,174.0,235.0,100.0,2172.0,4139.0
Total Forfeited Security Deposits,Layer 1 Item,36,0.0,400.0,0.0,0.0,1269.16,289.22,0.0,0.0,0.0,100.0,0.0,2058.38,4116.76
Cable and Satellite Revenue,Layer 1 Item,37,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.63,41.67,500.0,958.3300000000002
WO Chargebacks,Layer 1 Item,38,450.0,62.0,0.0,0.0,249.0,0.0,0.0,193.0,134.0,33.0,240.0,1361.0,2722.0
Total Other Bad Debt & Recovery,Layer 1 Item,40,0.0,0.0,0.0,0.0,-404.18,-150.0,30.0,0.0,0.0,0.0,0.0,-524.18,-1048.3600000000001
Direct Expenses,Layer 1 Item,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marketing Expenses,Layer 1 Item,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marketing Fees,Layer 1 Item,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.15,0.0,0.0,28.15,56.3
Tenant Relations Promo/Events,Layer 1 Item,47,169.1,10.98,85.26,0.0,622.12,138.82,36.99,0.0,0.0,0.0,0.0,1231.77,2295.04
Administrative Expenses,Layer 1 Item,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Travel-Mileage, Parking Fees, Gas, Tolls",Layer 1 Item,51,0.0,0.0,0.0,0.0,155.9,0.0,88.43,0.0,0.0,0.0,0.0,244.33,488.66
Meals and Entertainment - Before 5:00PM,Layer 1 Item,52,0.0,0.0,0.0,0.0,0.0,0.0,38.17,0.0,0.0,0.0,0.0,38.17,76.34
Conferences,Layer 1 Item,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.81,0.0,2051.81,4103.62
Credit Reports/Background Checks,Layer 1 Item,54,0.0,15.15,0.0,99.45,156.75,183.75,84.3,190.35,30.3,39.3,66.3,916.8,1782.4499999999998
Office Supplies - Misc,Layer 1 Item,55,105.96,405.3,0.0,23.81,44.66,216.57,27.49,237.75,64.84,55.56,125.96,1331.46,2639.3599999999997
Office Supplies - Toner,Layer 1 Item,56,0.0,71.38,0.0,76.65,0.0,150.6,0.0,76.64,0.0,278.09,0.0,653.36,1306.7199999999998
Office Supplies - Envelopes/Letterhead,Layer 1 Item,57,0.0,0.0,0.0,24.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.04,48.08
Office Supplies - Copy Paper,Layer 1 Item,58,45.42,0.0,0.0,53.88,0.0,0.0,0.0,41.87,0.0,0.0,0.0,141.17,282.34000000000003
IT - Misc Licenses & Software - In,Layer 1 Item,59,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,31.6
IT - Yardi Licenses - In,Layer 1 Item,60,231.76,231.21,231.21,226.93,0.0,225.65,457.16,232.51,226.28,342.59,20.48,2431.84,4857.620000000001
IT - Cloud & Portal Services - In,Layer 1 Item,61,0.0,0.0,0.0,1359.25,0.0,0.0,54.64,0.0,0.0,0.0,530.48,2093.74,4038.1099999999997
"Subscriptions, apps, permits",Layer 1 Item,62,0.0,177.82,1582.42,-439.68,460.32,50.55,175.62,0.0,173.08,120.89,0.31,2484.11,4785.44
6305-0000,Layer 1 Item,63,435.0,1695.0,111.25,0.0,3179.0,386.0,220.0,-1679.0,0.0,0.0,0.0,4587.25,8934.5
Telephone - Local,Layer 1 Item,64,0.0,385.57,193.1,193.1,193.8,193.8,200.04,208.81,402.61,192.07,0.0,2355.94,4518.84
Telephone - Cellular,Layer 1 Item,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.2,0.0,0.0,0.0,82.2,164.4
Telephone - Corporate System - DUCS,Layer 1 Item,66,0.0,0.0,350.0,70.0,70.0,70.0,70.0,70.0,35.0,35.0,0.0,770.0,1540.0
Training/Education - Internal,Layer 1 Item,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.64,227.64,455.28
Training/Education - External,Layer 1 Item,68,0.0,0.0,2.02,0.0,2.02,0.0,2.75,0.0,0.0,9.01,1.7,17.5,35.0
Portal Costs,Layer 1 Item,69,3.25,61.25,0.0,191.97,46.0,7.5,0.0,8.25,11.0,194.0,9.0,645.12,1177.3400000000001
Network Yardi Support (In) Resident Surveys Only,Layer 1 Item,70,0.0,24.88,0.0,0.0,0.0,26.7,0.0,0.0,0.0,26.7,26.71,129.86,234.85000000000002
Interest Expense on Sec. Dep.,Layer 1 Item,71,-0.08,16.55,19.99,0.0,9.99,46.83,9.64,0.0,0.0,11.49,15.54,129.95,259.9
Grant Expense,Layer 1 Item,72,550.0,250.0,550.0,550.0,550.0,750.0,-550.0,550.0,-850.0,550.0,300.0,3750.0,6950.0
Misc. Admin/Use Tax Expenses,Layer 1 Item,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.99,0.0,0.0,12.99,25.98
Insurance Expense,Layer 1 Item,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Property Insurance,Layer 1 Item,77,3260.5,3260.5,3260.5,3260.5,3260.5,4308.83,3765.41,3765.41,3765.41,3137.87,3765.42,42071.35,80882.2
Payroll Expense,Layer 1 Item,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Administrative Payroll,Layer 1 Item,81,3952.21,4046.84,4371.4,4544.82,3848.15,4801.06,4314.36,5208.58,-3400.62,4348.9,4890.63,44359.08,85285.41
Repair & Maintenance Payroll,Layer 1 Item,82,4121.61,4252.0,4679.37,4664.42,4329.54,5145.04,4544.82,4338.95,4470.07,4042.5,4183.46,53170.53,101942.31
Temporary Help-Administrative,Layer 1 Item,83,297.25,17.11,0.0,3.92,0.0,0.0,4.19,0.0,0.0,0.0,0.0,1829.27,2151.74
Temporary Help-Maintenance,Layer 1 Item,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.76,-145.76,0.0,0.0
Commissions,Layer 1 Item,85,30.0,30.0,0.0,0.0,0.0,0.0,90.0,60.0,30.0,30.0,0.0,270.0,540.0
6385-0000,Layer 1 Item,86,0.0,0.0,0.0,0.0,0.0,2508.0,0.0,0.0,0.0,0.0,0.0,3754.0,6262.0
"PR Taxes, Benefits, WC Ins., etc.",Layer 1 Item,87,1358.69,1338.41,1450.35,2007.31,1452.62,2101.57,1951.46,2032.94,751.9,1774.14,1980.16,19921.5,38121.05
6399-0000,Layer 1 Item,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cable TV / Internet Expense,Layer 1 Item,91,200.78,200.78,200.78,200.78,200.78,200.78,0.0,200.78,200.78,194.53,16.55,1840.12,3657.4399999999996
Refuse Removal - Contract,Layer 1 Item,92,811.39,811.22,1002.19,870.0,940.92,878.83,1661.09,657.14,849.95,707.14,707.14,10708.57,20605.58
Refuse Contract Commissions,Layer 1 Item,93,76.92,76.92,76.92,0.0,0.0,0.0,0.0,108.07,0.0,111.03,0.0,526.78,976.64
Refuse Consulting Fees,Layer 1 Item,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.03,111.03,222.06
Electricity - Common Area (Standard Cost),Layer 1 Item,95,215.7,318.4,-802.75,-136.0,-79.9,1018.65,0.0,0.0,0.0,0.0,0.0,796.6,1330.6999999999998
Electricity - Common Area (Rate Variance),Layer 1 Item,96,-28.81,184.67,68.33,-8.13,-60.2,0.0,0.0,0.0,0.0,0.0,0.0,278.62,434.48
6415-1500,Layer 1 Item,97,0.0,0.0,0.0,318.85,189.23,296.51,212.9,252.36,305.0,202.48,181.48,1958.81,3917.62
Electricity (Vacant Units),Layer 1 Item,98,0.0,0.0,0.0,0.0,0.0,142.5,476.71,385.52,0.0,138.52,153.03,1296.28,2592.56
Water & Sewer (Standard Cost),Layer 1 Item,99,2250.0,2410.0,1970.0,2273.92,-1054.6,2262.55,1829.46,2380.06,1902.77,2796.69,2183.71,23324.56,44529.119999999995
Water & Sewer (Rate Variance),Layer 1 Item,100,381.29,390.84,373.46,1087.86,1647.89,1374.13,1064.86,208.85,-199.25,-761.84,-439.92,5512.64,10640.810000000001
Stormwater,Layer 1 Item,101,0.0,0.0,0.0,262.4,262.4,533.49,0.0,0.81,262.4,0.0,0.0,1321.5,2643.0
Gas (Standard Cost),Layer 1 Item,102,145.0,179.0,5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,879.0
Gas (Rate Variance),Layer 1 Item,103,-131.63,87.65,37.18,0.0,-37.18,0.0,0.0,0.0,0.0,0.0,0.0,-18.3,-62.27999999999999
6425-1500,Layer 1 Item,104,0.0,0.0,0.0,39.38,39.38,253.33,91.0,31.37,65.09,228.29,68.81,816.65,1633.3000000000002
Gas (Vacant Units),Layer 1 Item,105,0.0,0.0,0.0,0.0,0.0,12.69,54.95,33.58,81.79,72.86,180.22,436.09,872.1800000000001
Utility Consultant/Monitoring Fees,Layer 1 Item,106,88.48,0.0,167.39,155.97,79.85,228.36,75.0,75.0,100.0,100.0,100.0,1455.02,2625.07
Late Charges for Utilities,Layer 1 Item,107,0.0,0.0,0.0,0.0,0.0,68.2,3.43,0.0,0.0,22.43,1.03,95.09,190.18
Repairs And Maintenance,Layer 1 Item,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire Protection & Phone Lines,Layer 1 Item,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.61,33.21,244.82,489.64
Cleaning Equipment & Supplies,Layer 1 Item,112,35.13,1299.09,14.12,0.0,0.0,426.52,0.0,25.34,0.0,0.0,0.0,1950.14,3750.34
Exterminating Contract,Layer 1 Item,113,58.86,58.86,372.6,77.34,61.23,61.23,466.07,96.63,313.56,297.44,1021.23,2943.91,5828.96
Exterminating Supplies,Layer 1 Item,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,46.45,14.16,0.0,67.04,134.08
"Floors, Carpet Repairs, Cleaning.",Layer 1 Item,115,0.0,1300.0,-1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grounds Contract,Layer 1 Item,116,0.0,1975.0,2120.66,2120.66,2743.37,2120.66,2193.8,2770.66,0.0,824.0,0.0,16868.81,33737.619999999995
Grounds Supplies,Layer 1 Item,117,631.61,0.0,0.0,53.15,0.0,0.0,0.0,3.0,81.08,0.0,0.0,768.84,1537.68
General Repairs Material,Layer 1 Item,118,134.38,0.0,158.43,28.02,0.0,0.0,132.24,9.36,0.0,0.0,0.0,489.93,952.36
HVAC Repairs,Layer 1 Item,119,0.0,-6.5,61.55,188.34,125.93,-67.06,173.69,284.31,748.54,512.33,2155.0,4969.41,9145.54
Snow Removal,Layer 1 Item,120,1975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.66,1250.0,2074.0,9394.66,16814.32
Window and Doors,Layer 1 Item,121,0.0,0.0,68.76,0.0,88.41,-2.41,1648.92,47.42,2410.56,280.0,0.0,4541.66,9083.32
Plumbing Repairs & Supplies,Layer 1 Item,122,566.95,0.0,0.0,219.78,28.74,-3.9,243.26,23.93,561.75,153.0,171.03,1964.54,3929.08
Electrical Repairs & Supplies,Layer 1 Item,123,0.0,0.0,0.0,0.0,0.0,41.45,122.56,234.51,47.49,3.69,198.65,878.49,1526.8400000000001
Locks and Keys,Layer 1 Item,124,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,14.4,26.4,52.8
Appliance Maintenance/Parts,Layer 1 Item,125,0.0,0.0,145.29,4.8,0.0,109.48,9.47,43.83,0.0,0.0,49.08,472.37,834.3199999999999
Garage Repairs,Layer 1 Item,126,0.0,0.0,0.0,976.19,0.0,0.0,0.0,0.0,0.0,0.0,52.48,1207.16,2235.83
Misc. Maintenance Expense,Layer 1 Item,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.01,-20.91,-38.92,-77.84
Building and Grounds Maintenance Projects,Layer 1 Item,128,0.0,0.0,3356.56,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365.56,6731.12
Parking Lot Sweep & Stripe,Layer 1 Item,129,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,1350.0
Turnover Expenses,Layer 1 Item,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turnover - Paint Supplies,Layer 1 Item,133,61.9,0.0,68.47,0.0,556.5,0.0,296.2,0.0,0.0,0.0,0.0,983.07,1966.1399999999999
Turnover - Contract Painting,Layer 1 Item,134,0.0,0.0,0.0,0.0,840.0,760.0,111.21,0.0,0.0,0.0,0.0,1711.21,3422.42
Turnover - Tub Resurfacing,Layer 1 Item,135,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,18.8
Turnover - Countertop Resurfacing,Layer 1 Item,136,0.0,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15,20.3
Turnover - Drywall Repair,Layer 1 Item,137,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,150.0,300.0
Turnover - Contract Carpet Cleaning,Layer 1 Item,139,0.0,0.0,58.89,0.0,200.0,189.22,111.15,0.0,0.0,200.04,200.0,959.3,1918.6
Turnover - Maintenance,Layer 1 Item,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.22,0.0,118.22,236.44
Total Turnover Expenses,Layer 1 Item,141,61.9,19.55,127.36,0.0,2796.5,2858.29,798.56,0.0,0.0,318.26,200.0,7180.42,14360.84
Total Direct Expenses,Layer 1 Item,142,22049.42,25595.43,25785.7,25652.68,26361.12,34125.55,26843.44,23304.22,15649.63,25044.29,25209.28,300756.03,576376.79
Controllable Operating Income,Layer 1 Item,143,54264.51,36750.79,40601.67,39908.19,38638.83,26136.75,37652.25,41643.75,48757.84,40986.74,43505.73,489713.54,938560.5899999999
Management Fees & Taxes,Layer 1 Item,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Management Fees - Affiliated,Layer 1 Item,146,2332.18,2379.38,2381.03,2360.73,2313.38,2350.44,2286.84,2265.33,2272.33,2320.48,2323.48,27905.78,53491.380000000005
Real Estate Taxes,Layer 1 Item,147,5211.68,5211.68,5211.68,5211.68,5211.68,5211.68,5211.68,5211.68,5211.68,-33254.48,2130.8,20993.12,36774.56
